school_group,tj_pathway,division,school_id,school,class_year,nmsf_count,grade11_enrollment,nmsf_per_100_juniors,rate_status,row_coverage_status,nmsf_status,enrollment_status,denominator_gap_flag,nmsf_missingness_flag,rate_missingness_note
Base public schools,Loudoun,LCPS,lightridge_high_school,Lightridge High School,2019,,,,not_operating,not_operating,not_operating,not_operating,false,false,school not operating for class year
Base public schools,Loudoun,LCPS,lightridge_high_school,Lightridge High School,2020,,,,not_operating,not_operating,not_operating,not_operating,false,false,school not operating for class year
Base public schools,Loudoun,LCPS,lightridge_high_school,Lightridge High School,2021,,,,not_operating,not_operating,not_operating,not_operating,false,false,school not operating for class year
Base public schools,Loudoun,LCPS,lightridge_high_school,Lightridge High School,2022,,167,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,lightridge_high_school,Lightridge High School,2023,3,392,0.765306,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,lightridge_high_school,Lightridge High School,2024,6,421,1.425178,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,lightridge_high_school,Lightridge High School,2025,5,461,1.084599,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,lightridge_high_school,Lightridge High School,2026,5,515,0.970874,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,loudoun_county_high_school,Loudoun County High School,2019,,341,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,loudoun_county_high_school,Loudoun County High School,2020,,385,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,loudoun_county_high_school,Loudoun County High School,2021,,369,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,loudoun_county_high_school,Loudoun County High School,2022,,363,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,loudoun_county_high_school,Loudoun County High School,2023,3,361,0.831025,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,loudoun_county_high_school,Loudoun County High School,2024,1,385,0.259740,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,loudoun_county_high_school,Loudoun County High School,2025,1,368,0.271739,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,loudoun_county_high_school,Loudoun County High School,2026,0,360,0.000000,calculated,compatible,verified_zero,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,loudoun_valley_high_school,Loudoun Valley High School,2019,,334,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,loudoun_valley_high_school,Loudoun Valley High School,2020,,343,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,loudoun_valley_high_school,Loudoun Valley High School,2021,,317,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,loudoun_valley_high_school,Loudoun Valley High School,2022,,332,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,loudoun_valley_high_school,Loudoun Valley High School,2023,0,325,0.000000,calculated,compatible,verified_zero,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,loudoun_valley_high_school,Loudoun Valley High School,2024,3,291,1.030928,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,loudoun_valley_high_school,Loudoun Valley High School,2025,,286,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,loudoun_valley_high_school,Loudoun Valley High School,2026,0,277,0.000000,calculated,compatible,verified_zero,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,park_view_high_school,Park View High School,2019,,377,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,park_view_high_school,Park View High School,2020,,386,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,park_view_high_school,Park View High School,2021,,354,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,park_view_high_school,Park View High School,2022,,348,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,park_view_high_school,Park View High School,2023,0,347,0.000000,calculated,compatible,verified_zero,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,park_view_high_school,Park View High School,2024,0,370,0.000000,calculated,compatible,verified_zero,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,park_view_high_school,Park View High School,2025,,367,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,park_view_high_school,Park View High School,2026,0,325,0.000000,calculated,compatible,verified_zero,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,potomac_falls_high_school,Potomac Falls High School,2019,,414,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,potomac_falls_high_school,Potomac Falls High School,2020,,413,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,potomac_falls_high_school,Potomac Falls High School,2021,,366,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,potomac_falls_high_school,Potomac Falls High School,2022,,424,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,potomac_falls_high_school,Potomac Falls High School,2023,2,375,0.533333,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,potomac_falls_high_school,Potomac Falls High School,2024,3,413,0.726392,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,potomac_falls_high_school,Potomac Falls High School,2025,3,413,0.726392,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,potomac_falls_high_school,Potomac Falls High School,2026,1,429,0.233100,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,riverside_high_school,Riverside High School,2019,,379,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,riverside_high_school,Riverside High School,2020,,475,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,riverside_high_school,Riverside High School,2021,,459,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,riverside_high_school,Riverside High School,2022,,460,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,riverside_high_school,Riverside High School,2023,2,467,0.428266,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,riverside_high_school,Riverside High School,2024,1,428,0.233645,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,riverside_high_school,Riverside High School,2025,4,456,0.877193,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,riverside_high_school,Riverside High School,2026,5,440,1.136364,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,rock_ridge_high_school,Rock Ridge High School,2019,,498,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,rock_ridge_high_school,Rock Ridge High School,2020,,520,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,rock_ridge_high_school,Rock Ridge High School,2021,,353,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
