school_id,school,nces_school_id,nces_lea_id,nces_school_name,nces_lea_name,nces_city,nces_zip,nces_grade_low,nces_grade_high,nces_level,nces_school_type,nces_operational_status,source_title,source_url,source_retrieval_date,source_file_sha256
west_potomac_high_school,West Potomac High School,510126000489,5101260,West Potomac High,Fairfax County Public Schools,Alexandria,22307,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
centreville_high_school,Centreville High School,510126002114,5101260,Centreville High,Fairfax County Public Schools,Clifton,20124,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
lake_braddock_secondary_school_hs,Lake Braddock Secondary School (HS),510126000516,5101260,Lake Braddock Secondary,Fairfax County Public Schools,Burke,22015,07,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
robinson_secondary_school_hs,Robinson Secondary School (HS),510126000561,5101260,Robinson Secondary,Fairfax County Public Schools,Fairfax,22032,07,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
south_county_high_school,South County High School,510126002436,5101260,South County High,Fairfax County Public Schools,Lorton,22079,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
west_springfield_high_school,West Springfield High School,510126000585,5101260,West Springfield High,Fairfax County Public Schools,Springfield,22152,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
chantilly_high_school,Chantilly High School,510126000059,5101260,Chantilly High,Fairfax County Public Schools,Chantilly,20151,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
fairfax_high_school,Fairfax High School,510126000463,5101260,Fairfax High,Fairfax County Public Schools,Fairfax,22030,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
westfield_high_school,Westfield High School,510126002529,5101260,Westfield High,Fairfax County Public Schools,Chantilly,20151,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
woodson_high_school,Woodson High School,510126000600,5101260,Woodson High,Fairfax County Public Schools,Fairfax,22031,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
thomas_jefferson_high_school_for_science_and_technology,Thomas Jefferson High School for Science and Technology,510126002034,5101260,Thomas Jefferson High for Science and Technology,Fairfax County Public Schools,Alexandria,22312,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
